preferred_label,alt_labels,type
follow safety precautions in a gaming room,act in accordance with safety rules in gaming room|act in accordance with safety precautions in the gaming room|act in accordance with safety rules in the gaming room|follow safety rules in the gaming room|follow safety rules and procedures in gaming room|follow safety rules and procedures in the gaming room|follow safety rules in gaming room|act in accordance with safety precautions in gaming room,skill
write risk assessment on performing arts production,write assessment of risks about performing arts production|identify risk measures to be implemented for arts production|describe risk assessment measures when performing arts production|write risk assessment regarding production of performing arts,skill
advise customers on photography,commend customers on photography|advising customers on photography|advise a customer on photography|suggest customers on photography|help customers on photography|advising a customer on photography|recommend customers on photography|instruct customers on photography,skill
abrasive blasting processes,abrasive blasting operations|hydro abrasive sanding procedures|abrasive blasting systems|hydro abrasive sanding systems|hydro abrasive sanding measures|abrasive blasting measures|abrasive blasting procedures|hydro abrasive sanding operations,knowledge
ensure compliance with waste legislative regulations,assure compliance with waste legislative regulations|provide compliance with waste legislative regulations|ensure compliance with waste legislative regulation|enable compliance with waste legislative regulations|ensuring compliance with waste legislative regulations|secure compliance with waste legislative regulations,skill
cued speech,cued-speech|visual communication system using handshapes|system of manual cues to aid lipreader,knowledge
supervise movement of crew,monitor movement of crew|supervise crew movement|oversee movement of crew|supervise crew embarkation and disembarkation|monitor crew movement|monitor crew embarkation and disembarkation|oversee crew embarkation and disembarkation|monitor embarkation and disembarkation of crew|supervise embarkation and disembarkation of crew|supervise movement of crew members|oversee embarkation and disembarkation of crew|oversee crew movement,skill
check vehicle parts on delivery,test vehicle parts on delivery|determine vehicle parts on delivery|check vehicle parts on a delivery|assess vehicle parts on delivery|checking vehicle parts on delivery|audit vehicle parts on delivery|check vehicle part on delivery,skill
imprint visionary aspirations into the business management,imprinting visionary aspirations into the business management|imprint visionary aspiration into the business management|incorporate visionary aspirations into the business management|imprint business management visionary aspirations|imprint visionary goals into the business management|Integrate visionary aspirations into the business management,skill
apply alternate wetting and drying techniques,apply AWD techniques|implement AWD techniques in rice cultivation|implement alternate wetting and drying techniques|employ AWD techniques,skill
Danish,ability to comprehend spoken and written Danish and to speak and write in Danish|competent in Danish,knowledge
develop an artistic framework,create a research framework plan|develop artistic research framework|create a plan for artistic research|developing artistic framework|create artistic framework|develop an artistic research framework|develop artistic frameworks|generate artistic framework|produce artistic framework|develop a framework for artistic research,skill
psychological effects of war,psychological effects caused by war|mental health effects of war|effects of war on the psyche|war-induced psychological effects,knowledge
study roles from scripts,learn roles from scripts|read about roles from scripts|self teach roles from scripts|studying roles from scripts|study roles from script|study role from scripts,skill
advise on weather-related issues,weather-related advising|counsel on weather-related issues|advising on weather-related issues|make recommendations on weather-related issues guide the weather-related issues,skill
prepare flower arrangements,flower arrangement creating|create arrangements of flowers|flower arrangements preparing|flower arrangements creating|creating flower arrangements|preparing flower arrangements|create flower arrangements|flower arrangement preparing|preparing arrangements of flowers|prepare arrangements of flowers|creating arrangements of flowers,skill
design medical devices,medical device designing|develop medical devices|medical devices develop|medical devices designing|designing medical devices|medical device developing|developing medical devices|medical devices design|medical devices developing,skill
tend corn starch extraction machines,take care of corn starch extraction machines|watch corn starch extraction machines|mind corn starch extraction machines|look after corn starch extraction machines|tending corn starch extraction machines|the tend of corn starch extraction machines,skill
use packaging equipment,utilise packing equipment|utilise packaging equipment|use packing equipment|pack goods using equipment|pack goods utilising equipment|operate packaging equipment|operate packing equipment|package goods using equipment|package goods in preparation for transportation|pack goods in preparation for transportation,skill
transfer medication,relocate medication|safely transfer medication|transfer medications|transfer medication using aseptic techniques,skill
interface with anti-mining lobbyists,interface with lobbyists against mining|communicate with those opposing mining|communication with those opposing mining|communicating with those opposing mining|interfacing with anti-mining lobbyists|interfacing with lobbyists against mining|communicate with anti-mining lobbyists,skill
pack charcoal,fill filter press with charcoal|briquetting techniques|packing charcoal|filling of filter press with charcoal|pack charcoal|filter press filling|filling filter press with charcoals|charcoal packing,skill
manage a multidisciplinary team involved in patient care,manage a multi-disciplinary team involved in patient-care|manage a multi-disciplinary team involved in patient care|oversee multidisciplinary team involved in patient care|oversee multidisciplinary patient care team,skill
oversee production requirements,manage production requirements|administer production requirements|supervise production requirements|control production requirements|oversee a production requirement,skill
handle seasonal sales,operate seasonal sales|administer seasonal sales|deal with seasonal sales|conduct seasonal sales|handling seasonal sales|handling a seasonal sale|handle a seasonal sale,skill
forecast human population trends,forecasting of human population trends|forecasting human population trend|analyse human population trends|human population trend forecasting|predict human population trends|project human population trends,skill
manage human resources,manage hr|direct human resources|oversee human resources|supervise human resources|managing human resources,skill
set up drip irrigation system,drip irrigation system commissioning|drip irrigation system set up|setting up drip irrigation system|commissioning of drip irrigation system|commission drip irrigation system|commissioning drip irrigation system|setting up of drip irrigation system,skill
types of fuels,categories of fuels|varieties of fuels|brands of fuels|kinds of fuel|type of fuel|fuel types|type of fuels|fuel varieties,knowledge
impact of social contexts on health,impact of cultural contexts on health|impact of social context on health,knowledge
advise legislators,commend to law makers|help legislators|help law makers|recommend to legislators|make suggestions to legislators|make suggestions to law makers|commend to legislators|recommend to law makers,skill
produce harp components,build harp components|make harp components|produce a harp component|construct harp components|erect harp components|producing harp components,skill
design a domotic system in buildings,engineer a domotic system in nzeb residential buildings|design a domotic system in nzeb buildings,skill
supervise video and motion picture editing team,organise video and motion picture editing team|supervising video and motion picture editing team|supervise video and motion picture editing teams|direct video and motion picture editing team|oversee video and motion picture editing team|manage video and motion picture editing team,skill
land use for airport planning,use of land in airport development|use of land in airport operations|consideration of land use in airport operations|land use for airport planning|land use for airport development|impact of land use in airport development|land use in airport construction|impact of land use in airport planning|consideration of land use in airport development|use of land in airport planning,knowledge
food canning production line,food canning production lines|food canning operating line|food canning performance line|food canning processing line|a food canning production line|canning of food production line,knowledge
Adobe Illustrator,Adobe Illustrator CC,knowledge
conduct ante-mortem veterinary health inspection,conduct ante-mortem veterinary health inspection|conduct ante-mortem veterinary health investigation of food animals|conduct clinical assessment of ante-mortem health status of food animals|conduct veterinary health inspection of food animals before slaughter|inspect animals before slaughter|conduct ante-mortem veterinary health check of animals for slaughter|conduct ante-mortem veterinary health check of animals intended for consumption|perform veterinary health inspection before slaughter|conduct ante-mortem veterinary health check of animals intended for slaughter|perform ante-mortem veterinary health inspection|conduct veterinary health check before slaughter|conduct ante-mortem veterinary health inspection of food production animals|perform ante-mortem veterinary health check of animals intended for consumption,skill
tend milk filling machines,mind milk filling machines|look after milk filling machines|tend a milk filling machine|take care of milk filling machines|watch milk filling machines|tend milk filling machinery|tending milk filling machines,skill
spatial planning,spatial planning principles,knowledge
maintain personal development in psychotherapy,develop and monitor personal qualities as psychotherapist|uphold personal development in psychotherapy|apply personal development techniques as a psychotherapist|maintain psychotherapeutical personal development,skill
maintain camping facilities,maintain camping grounds|manage camping facilities and equipment|manage campsite supplies and equipment|maintain facilities at camp|maintain campsites|maintain camp facilities,skill
compile detailed collection inventory,compile detailed inventory of collection|compile collection inventory in detail|perform detailed collection inventory|draw up an in-depth collection inventory,skill
monitor parking areas to maintain security,make sure parking areas remain secure|monitoring parking areas to maintain security|monitor parking area to maintain security|provide parking areas security|monitor and maintain security in parking areas,skill
apply arc welding techniques,add arc welding techniques|add brazing and forging skills|paint brazing and forging skills|administer brazing and forging skills|paint arc welding techniques|utilise phosphate coating on a metal workpiece|administer arc welding techniques,skill
restorative justice,restorative practices in justice|restorative approach to justice|restorative-justice,knowledge
carry out cross merchandising,make cross merchandising|undertake cross merchandising|carrying out cross merchandising|oversee cross merchandising|carrying out of cross merchandising|complete cross merchandising,skill
calculation of food energy,calculation of energy|calculation of energy intake|calculation of calories or joules|calculation of nutrients,knowledge
create a crowdfunding campaign,launch crowdfunding initiative|setup a digital crowdfunding activity,skill
communication related to hearing impairment,human communication related to hearing impairment|hearing-impairment related communication|communication related to hearing impairments|aspects and characteristics of hearing-impairment related communication,knowledge
zoo regulations,zoo regulating practices|zoo regulations|zoo regulation|zoo rules|regulations of a zoo,knowledge
perform business analysis,perform analysis of a business|undertake business analysis|complete business analysis|performing business analysis|perform a business analysis|implement business analysis,skill
build garden masonry,garden masonry building|building garden masonry|construct garden masonry|garden masonry constructing|constructing garden masonry,skill
apply coating to electrical equipment,applying coating to electrical equipment|coating electrical equipment|electrical equipment coating|coat electrical equipment|coating applying to electrical equipment|electrical equipment coating applying,skill
optomechanical devices,optical tables|kinds of optomechanical device|typology of optomechanical device|opto-engineering devices|types of optomechanical device|types of opto-mechanical device|precision mirror mounts|kinds of opto-mechanical device|opto-mechanical devices|optical mounts|types of optomechanical devices|typology of opto-mechanical device|types of opto-mechanical devices,knowledge
allergic cosmetics reactions,allergic cosmetic reactions|allergic cosmetics aftermath|allergic cosmetics after effect|allergic cosmetics reaction|allergic cosmetics repercussion|allergic cosmetic reaction,knowledge
tend bleacher,tend bleachers|operate bleacher|tending bleacher|maintain bleacher|run bleacher|repair bleacher,skill
medical terminology,medical terms and abbreviations|technical terms in medicine|medical language,knowledge
involve service users and carers in care planning,involve service users and care-givers  in care planning|involve service users' carers in support planning|involve service users' carers in support and care planning|involve service users' carers in care and support planning|interact with social service users and their families|work with service users and their carers,skill
prepare equipment for textile printing,ready equipment for textile printing|prepare equipment and tools for textile printing|ready for manual textile printing|ready equipment and tools for textile printing|prepare equipment for manual textile printing|prepare for textile printing,skill
handle delivery of furniture goods,undertake delivery of furniture goods|implement delivery of furniture goods|carry out delivery of furniture goods|handling delivery of furniture goods|handling the delivery of furniture goods|handle the delivery of furniture goods,skill
drive in urban areas,operate vehicles in  in metropolitan areas|drive in metropolitan areas|operate vehicles in urban areas|operate vehicles in cities|control vehicles in cities|control vehicles in urban areas|control vehicles in metropolitan areas|drive vehicles in urban areas|drive in cities|drive vehicles in metropolitan areas,skill
maintain edged hand tools,maintaining edged hand tools|repair edged hand tools|edged hand tool maintaining|edged hand tool repairing|repairing edged hand tools,skill
coordinate shifts,shifts coordinating|shift coordinating|shift organising|organise shifts|shifts organising|coordinating shifts|organising shifts,skill
teach pharmacy principles,explain pharmacy principles|teaching pharmacy principles|teaches pharmacy principles|educate on pharmacy principles|provide instruction on pharmacy principles,skill
analyse music score,analyse scores|analysing score|scrutinize|analyze  score|review score|examine score|study score|inspect score,skill
liaise with genetic laboratories,collaborate with genetic laboratories|contact genetic laboratories|liaise with genetic testing room|communicate with genetic laboratory|connect with genetic laboratories|keep contact with genetic laboratories|collaborate with genetic laboratory|liaise with genetic testing rooms|contact genetic laboratory|communicate with genetic laboratories|connect with genetic laboratory,skill
take pharmaceutical inventory,take inventory of pharmaceuticals|take pharmaceutical stock|take stock of pharmaceuticals,skill
liaise with local authorities,work with  local councils|collaborate with local councils|collaborate with local authorities|cooperate with  local councils|cooperate with  local authorities|liaise with regional authorities|participate with local councils|participate with local authorities|work with  local authorities,skill
conduct flight proficiency checks,check competency of pilots and aviation personnel|undertake flight proficiency checks|assess competency of aviation personnel|perform flight proficiency checks|carry out flight proficiency checks|assess competency of pilots and aviation personnel|analyse competency of pilots and aviation personnel|conduct pilot proficiency checks|carry out pilot proficiency checks,skill
provide ICT consulting advice,provide advice in consulting|provide IT consulting advice,skill
identify nutritional properties of food,identify properties of nutritional food|check nutritional characteristics of food|recognise food nutritional facts|identify nutritional properties of food|judge nutritional characteristics of food|assess the nutritional characteristics of food|appraise nutritional characteristics of food|assess nutritional characteristics of food|list food nutritional ingredients|identify food nutritional properties|determine nutritional characteristics of food,skill
synchronise pumphouse activities,synchronising pumphouse activities|pumphouse activities synchronisation|synchronise activities in pumphouses|ensure synchronicity between pump houses|pursue continuous product flow|synchronize pumphouse activities|synchronise activities of pumphouses|ensure continuous product flow|synchronisation of pumphouse activities|keep pumphouses synchronised,skill
test circuitry,conduct signal circuit testing|test circuits|test signal circuitry|conduct signal circuitry testing|undertake circuit testing activities|test circuits of signals|conduct circuit tests|perform tests on circuitry|carry out circuit tests|test signal circuits,skill
provide flock medical treatment,flock medication providing|administering medication to livestock|treating livestock  with medication|administer medication to livestock|providing flock with medication|treat livestock with medication|provide flock with medication|providing flock medication,skill
work in a rail transport team,work within a rail transport team|complete work tasks as part of a rail transport team|work as part of a rail transport team|perform tasks in a rail transport team|undertake work in a rail transport team|work effectively in a rail transport team|work in a group in a rail transport environment|work with a rail transport team,skill
define artistic vision,define vision|state artistic vision clearly|outline artistic vision|set forth artistic vision|defining artistic vision,skill
grind terrazzo,cured terrazzo grinding|grinding of cured terrazzo|machine grinding of terrazzo floor|grinding cured terrazzo|terrazzo grinding|grinding terrazzo|grind cured terrazzo|grinding of terrazzo|terrazzo grinding machine use|use terrazzo grinding machine|finishing terrazzo floor|using terrazzo grinding machine|use of terrazzo grinding machine|finish terrazzo floor|terrazzo floor finishing,skill
align software with system architectures,,skill
monitor gauge,monitor metered and associated data|check gauge|supervise gauge|monitor gauges|oversee gauge|monitor gage|monitor gauge data,skill
radars,radio wave-based detectors|types of radars|radar|radar types|kinds of radars|detectors using microwaves|typology of radars|microwave detectors,knowledge
manage corrective actions,regulate corrective actions|oversee corrective actions|supervise corrective actions|manage corrective action|maintain corrective actions|managing corrective actions,skill
work with cultural venue specialists,work with specialists of venues of culture|work with professionals from other cultural venues|work with specialists of cultural venues|collaborate with other specialists of culture,skill
instruct grant recipient,tell grant recipient|notify award recipient|inform grant recipient|notify grant recipient|tell award recipient|brief award recipient|brief grant recipient|inform award recipient,skill
provide mentorship,guide less experienced colleagues|support less experienced colleagues|act as a mentor|offer mentorship|carry out mentorship duties,skill
Kurdish,ability to comprehend spoken and written Kurdish and to speak and write in Kurdish|competent in Kurdish,knowledge
maintain electrical engines,maintaining an electrical engine|maintain an electrical engine|manage electrical engines|sustain electrical engines|control electrical engines|preserve electrical engines|maintaining electrical engines,skill
handle pigs,specialised procedures for pigs undertaking|undertake specialised procedures for pigs|carrying out specialised procedures for pigs|undertaking specialised procedures for pigs|specialised procedures for pigs carrying out|carry out specialized  procedures for pigs,skill
record production data for quality control,keep records of production data for quality control|file production data for quality control|file machinery fault statistics for quality assurance|evidence record machinery fault statistics for quality assurance|chronicle machinery fault statistics for quality assurance|document production data for quality control|document machinery fault statistics for quality assurance|chronicle production data for quality control|evidence record production data for quality control,skill
food waste monitoring systems,food waste monitoring digital tools|hospitality food waste monitoring systems|digital tools for food waste monitoring|food loss tracking|food waste monitoring applications,knowledge
maintain aquaculture cage equipment,maintaining aquaculture cage equipment|maintain floats and mooring ropes|cage equipment maintaining in aquaculture|aquaculture cage equipment maintaining|maintaining floats and mooring ropes|floats and mooring ropes maintaining,skill
analyse energy market trends,energy market data analysing|energy market trends analysing|energy market trend analysing|analysing energy market data|analyze  energy market trends|analysing energy market trends,skill
clean household linens,clean household bedding|clean household linen|cleaning household linens|wash household linens,skill
Nessus,Nessus Vulnerability Scanner,knowledge
operate furniture machinery,manage furniture machinery|use furniture machinery|oversee furniture machinery|work furniture machinery|operate a furniture machine|operate furniture machines,skill
perform forensic preservations of digital devices,,skill
instruct customers on ammunition's usage,instruct customers on ammunition usage|brief customers on ammunition's usage|tell  customers on ammunition's usage|notify  customers on ammunition's usage|instruct a customer on ammunition usage|instructing a customers on ammunition usage|advise  customers on ammunition's usage,skill
allocate bills,issue bills|allocate bill|allocating bills|dispense bills,skill
adapt props,adapting props|modify props|change props|adapt the props,skill
sustainable manufacturing,sustainable production|eco-friendly manufacturing|resource-efficient manufacturing|green manufacturing|carbon-neutral manufacturing|sustainable forest products,knowledge
operate diesel propulsion plants,oversee diesel propulsion plants|conduct diesel propulsion plant operating activities|perform diesel propulsion plant operating activities|operate propulsion plants|manage diesel propulsion plants|ensure operation of diesel propulsion plants|conduct required actions to operate diesel propulsion plants|perform required actions to operate diesel propulsion plants|supervise diesel propulsion plants,skill
asylum systems,asylum schemes|refugee protection structures|refugee protection schemes|refugee protection rules|asylum structures|refugee protection arrangements|asylum arrangements|asylum rules,knowledge
operate voice picking systems,perform warehouse operations using voice picking systems|utilise voice-directed systems in warehouses|carry out warehouse operations using voice-directed systems|use voice-directed systems in warehouses|utilise warehouse voice picking systems|operate warehouse voice picking systems|perform warehouse operations using voice-directed systems|use voice picking systems|execute voice-directed warehouse operations|use warehouse voice picking systems|operate voice pick systems|utilise voice picking systems|operate voice picking systems in warehouses|perform voice-directed warehouse operations,skill
organise employees' work in the service station,coordinate employees' work in the service station|set up employees' work in the service station|arrange employees' work in the service station|establish employees' work in the service station|organise employees' work in service stations|organise an employees' work in the service station|organize employees' work in the service station,skill
collect industrial waste,industrial waste collecting|collecting industrial waste|hazardous and non hazardous waste collecting|collect hazardous and non hazardous waste|collecting of industrial waste|collecting of hazardous and non hazardous waste|collecting hazardous and non hazardous waste,skill
compile airport certification manuals,develop airport certification manuals|compile certification manuals for airports|maintain airport certification logs|assemble information on airport facilities|and procedures|maintain airport certification manuals|compose certification manuals for airports|equipment,skill
plan art educational activities,plan art activities that are educational|implement educational art activities|coordinate educational art events|plan educational art activities,skill
promote event,advertise an event|market an event|promote an event|promoting an event,skill
work within communities,set up community projects|set up social projects|establish social projects|work within the community|establish community projects|work with local communities,skill
assess the development of youth,promote the development of children and young people|assess youth-development|observe the development of children and young people,skill
operate forklift,use a forklift|drive forklift|drive a forklift|operate a forklift|run a forklift,skill
emergency surgery,emergency surgical intervention|surgical intervention in an emergency|emergency surgeries,knowledge
handle customer complaints,deal with client's negative feedback|handle customers' complaints|address guest complaints|handle complaints by customers,skill
shunt outbound loads,move outbound loads using shunters|shunt outbound loads of freight|move outbound loads of freight through operation of shunters|move outbound loads of freight using shunters|operate shunters to move outbound loads|shunt outbound freight|shunt outbound loads of goods|shunt outbound freight loads|use shunters to move outbound loads|shunt outbound goods loads,skill
collect visitor fees,collect visitors' fees|receive fees from visitors|collect fees from visitors|collect payment from visitors,skill
motivate supporters,prompt benefactors|prompt supporters|encourage supporters|spur benefactors|spur supporters|galvanise supporters|galvanise benefactors|encourage benefactors,skill
tend meat packaging machine,tend meat packaging machinery|look after meat packaging machines|mind meat packaging machines|tend a meat packaging machine|take care of meat packaging machines|watch meat packaging machines|tending a meat packaging machine,skill
design infrastructure for surface mines,assist infrastructure designing for surface mines|assist surface mine infrastructure design|designing infrastructure for surface mines|infrastructure design for surface mines|assist in infrastructure design for surface mines|assisting surface mine infrastructure design|surface mine infrastructure designing|infrastructure designing for surface mines|assisting in infrastructure designing for surface mines|assisting infrastructure designing for surface mines|designing of infrastructure for surface mines|surface mine infrastructure design,skill
interact with the board of directors,interact with the BOD|interact with the board|make a presentation to the board of directors|interacting with the board of directors|work with with the board of directors,skill
build community relations,construct community relations|community relations building|produce community relations|set up community relations|build a community relationship|devise community relations|building community relations|assemble community relations,skill
install embossing plates,installing embossing plates|build embossing plates|install wood embossing plate|mount embossing plates|set up embossing plates|construct embossing plates,skill
ensure lawful business operations,certify lawful business operations|guarantee lawful business operations|ensure lawful business operation|ensure business operations are lawful|ensuring lawful business operations,skill
tend blow moulding machine,tending blow moulding machine|operating blow moulding machine|operate blow moulding machine|tend blow molding  machine|blow moulding machine operating|blow moulding machine tending,skill
evaluate delivery of radiation treatment,conduct evaluations of radiation treatment|perform analyses of radiation treatments|execute radiation treatment analyses|evaluate radiation treatment delivery|carry out radiation treatment evaluations|analyse delivery of radiation treatment|assess delivery of radiation treatment|make assessments of radiation treatment|analyse radiation treatment delivery|assess radiation treatment delivery,skill
conduct content quality assurance,,skill
analyse market financial trends,analyze  market financial trends|search milled grains|analysis of a market financial trend|scrutinise milled grains|test milled grains|analysing market financial trends|analyse a market financial trend|investigate milled grains,skill
perform financial market business,execute financial market business|perform financial market work,skill
perform fertility laboratory procedures,perform fertility laboratory procedure|perform a fertility laboratory procedure|carry out fertility laboratory procedures|conduct fertility laboratory procedures|conduct laboratory analysis of fertility related conditions,skill
monitor international market performance,implement international market performance|monitoring international market performance|undertake international market performance|international market performance monitoring|complete international market performance|monitor an international market performance,skill
turn wood,turning wood|lathe work|wood turning|woodturning,skill
maintain library equipment,keep library equipment in good condition|oversee library equipment|maintaining library equipment|keep up library equipment,skill
oversee spa maintenance,supervise spa maintenance|overseeing spa maintenance|oversee maintenance of spa|manage spa maintenance,skill
record malting cycle data,record of malting cycle data|file malting cycle data|report malting cycle data|note malting cycle data|document malting cycle data|recording malting cycle data,skill
check in luggage,facilitate luggage check in|facilitate baggage check in|check in suitcases|facilitate check in of baggage|check in baggage|check in bags|facilitate check in of luggage|perform baggage check in operations|perform luggage check in operations,skill
logic,the study of logic|logic studies,knowledge
monitor nitroglycerin flow,check flow of nitroglycerin|checking nitroglycerin flow|monitor flow of nitroglycerin|nitroglycerin flow monitoring|monitoring flow of nitroglycerin|checking flow of nitroglycerin|nitroglycerin flow checking|monitoring nitroglycerin flow|check nitroglycerin flow,skill
install electrical household appliances,connect electrical household appliances|connect dishwashers|installation of electrical household appliances|installing electrical household appliances|connect refrigerators|electrical household appliance installation|connecting electrical household appliances|connect ovens,skill
prepare exhibition marketing plan,exhibition marketing plan preparation|preparing an exhibition marketing plan|plan exhibition marketing plan|develop exhibition marketing plan|prepare an exhibition marketing plan|provide exhibition marketing plan|arrange exhibition marketing plan,skill
material mechanics,material workings|mechanics of materials|matter mechanics|component mechanics,knowledge
monitor policy proposals,supervise policy recommendations|audit policy proposals|oversee policy proposals|supervise policy proposals|advise on policy recommendations|oversee policy recommendations|advise on policy proposals|audit policy recommendations,skill
below-the-line technique,below-the-line method|BTL technique|below the line technique,knowledge
chemical technologies in metal manufacture,knowledge of chemical technologies in metal manufacture|chemical procedures in metal manufacture|chemical procedures used in metal manufacture|chemical technology in metal manufacture|chemical procedures used in basic metal manufacture|chemical procedures in basic metal manufacture,knowledge
blockchain architecture,blockchain structure,knowledge
tend coating machine,watch over coating machine|guard coating machine|oversee laminating and layering machines|monitor coating machine|oversee coating machine|guard laminating and layering machines|monitor laminating and layering machines|watch over laminating and layering machines,skill
teach chemistry,teaching physics|explain physics|teaches physics|provide instruction on physics|educate on physics,skill
cutting technologies,cutting technology mechanisation|cutting technology automation|hi tech cutting technology|cutting technology machinery|hi tech cutting|cutting machinery|cutting mechanisation|cutting automation,knowledge
teach religious studies class,teaches religious studies class|teach religious studies course|teach religious studies lesson|teaching religious studies class,skill
lactation,physiology and function of the breast during lactation|breast-feeding|physiology of the secretion of milk,knowledge
write rail defect records,produce records of rail defects|write reports on rail faults|write rail defects records|create rail defect records|compose reports on rail faults|develop documentation on rail faults|produce rail defect records|produce reports on rail faults|create records of rail defects|produce documentation on rail defects|produce documentation on rail faults|write records of rail defects|compose rail defect records,skill
tend lehr,lehr tending|lehr operating|operate lehr|tending lehr|operating lehr,skill
prepare treatment plan for art therapy,make a treatment plan for art therapy|prepare treatment plan for art-therapy|prepare a treatment plan for art therapy|prepare treatment plans for art therapy|draw up treatment plan for art therapy,skill
improvise music,ad lib music|create impromptu music|improvising music|perform music spontaneously,skill
manage communicable disease,handle communicable diseases|handle infectious disease|manage comunicable diseases|manage communicable disease,skill
operate equipment for food homogenisation,utilise equipment for food homogenisation|operate equipment for food homogenization|run equipment for food homogenisation|work equipment for food homogenisation|use equipment for food homogenisation|operate the equipment for food homogenisation,skill
apply preliminary treatment to workpieces,administer pre production treatment to pieces of work|add pre production treatment to pieces of work|add preliminary treatment to workpieces|administer preliminary treatment to workpieces|paint pre production treatment to pieces of work|paint preliminary treatment to workpieces|utilise phosphate coating on a metal workpiece,skill
prepare pizza,cook and serve pizza|prepared pizza|prepare pizzas|create pizza,skill
measure light levels,measure lighting levels|determine lighting levels|measure light intensity|measure level of light,skill
fibreglass laminating,fibreglass coating|fiberglass laminating|fiberglass   laminating|fibre-glass laminating,knowledge
supervise deposit slips,oversee deposit slips|monitor deposit slips|supervising a deposit slip|supervise a deposit slip|supervising deposit slips|manage deposit slips|watch over deposit slips,skill
stitch paper materials,stitching paper|stitch paper supplies|stitch paper stuffs|stitch paper|stitch paper resources|stitch paper material,skill
sell products,selling products|sell a product|sell objects|promote and sell a product,skill
clean furniture,sterilize animal furniture|wash furniture|cleaning furniture|disinfect furniture|furniture cleaning|cleanse furniture,skill
acquire antique items,acquisition of antique items|acquiring antique items|collect antique items|amass antique items|gain antique items|pick up antique items|acquire an antique item,skill
store raw food materials,stored raw food materials|stock raw prime ingredients|store materials of raw food|stock raw food materials,skill
investigate maritime accidents,investigate marine accidents|investigate marine incidents|investigate accidents at sea|investigate naval accidents|carry out investigations into maritime accidents|perform maritime accident investigations|execute maritime accident investigations|investigate maritime incidents|conduct investigations of maritime incidents|conduct investigations of maritime accidents|conduct maritime accident investigation activities,skill
handle jewellery and watches insurance claims,handle jewelry  and watches insurance claims|deal with  jewellery and watches insurance claims|jewellery and watches insurance claims handling|operate  jewellery and watches insurance claims|administer  jewellery and watches insurance claims|handle a jewellery and watches insurance claim|handling jewellery and watches insurance claims|conduct jewellery and watches insurance claims,skill
register birth,obtain birth certificate|record birth of child|notify birth|record birth|notify birth of child|chronicle birth,skill
analyse energy consumption,analyze  energy consumption|energy consumption evaluating|evaluate energy consumption|analysing energy consumption|energy consumption analysing|evaluating energy consumption,skill
habitat restoration,ecosystem regeneration|ecosystem restoration|ecological restoration|habitat rehabilitation,knowledge
interact verbally in Turkish,verbally interact in Turkish|communicate verbally in Turkish|be fluent in Turkish|speak Turkish|interacting verbally in Turkish,skill
construct individual learning plans,create individual learning plans|constructs individual learning plans|construct individual learning plan|constructing individual learning plans|construct ILP|draw up individual learning plans|develop individual learning plans,skill
develop procurement strategy,design procurement strategy|define procurement strategy|draft procurement strategy|create procurement strategy|formulate procurement strategy,skill
maintain the farm,maintain farm|maintain farm facilities|farm facilities maintaining|maintaining the farm|farm maintaining|maintaining the farm facilities|maintaining farm facilities|maintain the farm facilities|maintaining farm,skill
teach business principles,educate on business principles|explain business principles|teaches business principles|teaching business principles|provide instruction on business principles,skill
fish harvesting methods,methods of fish harvesting|techniques of harvesting fish|methods of harvesting fish|techniques for harvesting fish|techniques of fish harvesting|methods for harvesting fish|fish harvesting techniques,knowledge
musical instruments,instruments for music|music instruments|musical tools|music devices,knowledge
join metals,joining metals|joining of metals|solder metal|soldering metal|welding|welding metal|metal joining|weld metal|joining metal|metals joining|joining of metal|soldering,skill
perform forensic accounting,conduct forensic accounting|performing forensic accounting|carry out forensic accounting,skill
commission set construction,commission construction of set|commission set's construction|authorize set construction|order set construction|commissioning set construction,skill
acupressure,principles of acupressure|pricinciples of acupuncture using physical pressure|acupuncture using physical pressure|knowledge of acupressure,knowledge
inspect roof for source of rainwater contamination,roof inspection for source of rainwater contamination|roof water contamination prevention|prevention of water contamination on roof|inspection of roof for source of rainwater contamination|preventing water contamination on roof|inspecting roof for source of rainwater contamination,skill
manage database,implement database theory,skill
plan product management,timetable product management|planning product management|plan production management|set up product management|arrange product management|implement product management|plan products management,skill
report live online,report live on streaming|broadcast online|broadcast on streaming|report live|give a live account online,skill
types of polymers,varieties of polymers|kinds of polymers|categories of polymers|type of polymer|sorts of polymers,knowledge
turf management,techniques of turf management|science of turf management|techniques of turf maintenance|methods of turf management|science of turf maintenance|principles of turf management|principles of turf maintenance|methods of turf maintenance,knowledge
monitor chipper machine,supervise chipper machine|run chipper machine|oversee chipper machine|monitor chipper machines|monitoring chipper machine,skill
mathematical economics,principles of mathematical economics,knowledge
spine surgery,spinal surgery,knowledge
provide railway technical advice,supply railway technical advice|give railway technical advice|provide railroad technical advice|advise on railroad technical issues|improve railway performance through provision of technical advice|provide technical railway advice|provide technical railroad advice|improve railroad operations through provision of technical advice|provide technical advice for railway operations|advise on technical railway issues|advise on railway technical issues,skill
use squaring pole,check window diagonals|telescopic squaring pole use|check window inset is square|use of squaring pole|using telescopic squaring pole|check window is square|check window inset for square|using squaring pole|use of telescopic squaring pole|squaring pole use,skill
