preferred_label,alt_labels,type
advise on customs regulations,guide on import and export regulations|advise customers on tariff systems|counsel on custom-related topics|advise customers|counsel on trade regulations,skill
manage university department,managing university department|supervise university department|oversee university department|coordinate university department|manages university department,skill
develop terminology databases,define terminology databases prepare terminology databases|write terminology databases|compile terminology databases|draw up terminology databases|populate terminology databases,skill
repair electric bicycles,repair electric bicycle|repair electric bikes|fix electric bikes|fix electric bicycles|repair bicycles,skill
maintain sorting equipment,sorting equipment maintaining|maintaining of sorting equipment|sorting equipment repairing|repair sorting equipment|repairing sorting equipment,skill
explain features in accommodation venue,explain accommodation venue features|explain accommodation features at venue|explain features in guest room|brief guests on room facilities,skill
types of barley,barley types|kinds of barley|strains of barley|varieties of barley|categories of barley,knowledge
KDevelop,kdevplatform|KDevelop platform,knowledge
purchase vehicle parts,oversee parts purchasing|carry out part purchasing|carry out parts purchases|carry out parts purchasing|carrying out parts purchasing|make parts purchasing|undertake parts purchasing|complete parts purchasing,skill
inspect offshore constructions,evaluate offshore constructions|examine offshore constructions|check offshore constructions|assess offshore constructions,skill
adjust envelope cutting settings,tweak envelope cutting settings|change envelope cutting settings|adapt envelope cutting settings|modify envelope cutting settings,skill
prepare oils,arrange oils|assemble oil|prepare oil|select and mix oil|assemble oils|arrange oil,skill
purchase supplies,pay for  supplies|acquire  supplies|gain  supplies|purchase of supplies|supplies purchasing|buy  supplies|purchase DIY supplies|purchase supplies|purchasing supplies,skill
pursue excellence in the creation of food products,look for excellence in the creation of food products|aim for excellence in the creation of food products|seek excellence in the creation of food products|pursue excellence in the creation of a food product,skill
maintain personal hygiene standards when cleaning,keep up personal hygiene standards when cleaning|maintain personal hygiene standard when cleaning|maintain personal hygiene when cleaning|sustain  personal hygiene standards when cleaning,skill
water skiing,waterski,knowledge
liaise with typists,cooperate with typists|liaising with typists|work together with typists|collaborate with typists|liaise with typist,skill
assess railway operations,appraise railway operations|evaluate railway operations|conduct review of railway performance|conduct analysis of railway operations|analyse railway operations|conduct evaluation of railway performance|conduct study on railway operations and performance|review railway operations,skill
practise extreme sports,participate in extreme sports|practice  extreme sports|play extreme sports|practise extreme sport|practising extreme sports|engage in extreme sports,skill
adopt ways to foster biodiversity and animal welfare,implement environmental choices in your own eating habit|adopt a sustainable eating habit|promoting organic and biological food consumption|take animal welfare into account when buying food products|concretely support biodiversity and animal welfare|take sustainability issues into account in consumption choices,skill
provide chaperone for children on set,offer chaperone for children on set|organise chaperone for children on set|arrange chaperone for children on set|provide chaperone for child on set|providing chaperone for children on set,skill
organise labour,organize labor|labour organising|workers organising|worker organising|organise workers|organising workers|organising labour,skill
use glass engraving tools,using glass engraving tools|glass engraving with tools|glass engraving tools using|work with glass engraving tools|working with glass engraving tools|use engraving tools on glass,skill
operate wrecking ball,demolish structure with wrecking ball|wrecking ball control|wrecking ball operation|operation of wrecking ball|control wrecking ball|demolition with wrecking ball,skill
evaluate garment quality,evaluate quality of garments|evaluate wearing apparel quality|estimate clothing quality|inspect clothing quality|estimate garment quality|estimate wearing apparel quality|inspect garment quality|evaluate quality of clothing|evaluate quality of wearing apparel|evaluate clothing quality,skill
apply for refunds,apply for a refund|implement refunds|make refunds|refund applications|undertake refunds|administer refunds,skill
perform a feasibility study for building management systems,carry out bms feasibility study|undertake an assessment of building management system feasibility|conduct a viability analysis for facility management systems|execute a feasibility investigation for building management systems,skill
Absorb (learning management systems),Absorb,knowledge
